Epoch,Train Error,Test Error
0,0.071,0.071
1,0.076,0.069
2,0.051,0.057
3,0.059,0.066
4,0.049,0.059
5,0.038,0.041
6,0.019,0.036
7,0.037,0.049
8,0.032,0.043
9,0.034,0.051
10,0.031,0.043
11,0.025,0.031
12,0.03,0.042
13,0.025,0.031
14,0.028,0.034
15,0.028,0.036
16,0.035,0.039
17,0.017,0.029
18,0.021,0.019
19,0.028,0.021
20,0.025,0.027
21,0.027,0.032
22,0.017,0.017
23,0.025,0.04
24,0.02,0.033
25,0.024,0.026
26,0.027,0.035
27,0.021,0.025
28,0.029,0.031
29,0.022,0.034
30,0.016,0.019
31,0.027,0.023
32,0.01,0.021
33,0.027,0.029
34,0.025,0.025
35,0.018,0.034
36,0.017,0.033
37,0.024,0.022
38,0.017,0.029
39,0.018,0.028
40,0.018,0.023
41,0.029,0.023
42,0.025,0.027
43,0.019,0.023
44,0.016,0.021
45,0.019,0.023
46,0.014,0.018
47,0.025,0.024
48,0.016,0.014
49,0.022,0.021
50,0.023,0.02
51,0.017,0.011
52,0.018,0.021
53,0.016,0.028
54,0.02,0.02
55,0.013,0.016
56,0.018,0.026
57,0.023,0.015
58,0.023,0.024
59,0.023,0.024
60,0.009,0.018
61,0.015,0.018
62,0.019,0.022
63,0.027,0.027
64,0.021,0.02
65,0.017,0.017
66,0.021,0.018
67,0.025,0.021
68,0.009,0.019
69,0.017,0.025
70,0.019,0.023
71,0.017,0.018
72,0.014,0.022
73,0.016,0.021
74,0.019,0.013
75,0.017,0.028
76,0.009,0.022
77,0.021,0.022
78,0.011,0.016
79,0.012,0.026
80,0.014,0.014
81,0.013,0.021
82,0.016,0.022
83,0.015,0.021
84,0.019,0.022
85,0.02,0.023
86,0.021,0.025
87,0.011,0.017
88,0.016,0.021
89,0.018,0.016
90,0.022,0.019
91,0.012,0.021
92,0.019,0.024
93,0.014,0.028
94,0.013,0.022
95,0.011,0.013
96,0.014,0.017
97,0.016,0.014
98,0.014,0.014
99,0.02,0.02
100,0.01,0.016
101,0.015,0.014
102,0.015,0.02
103,0.01,0.024
104,0.017,0.018
105,0.012,0.018
106,0.016,0.02
107,0.01,0.015
108,0.01,0.017
109,0.015,0.023
110,0.012,0.012
111,0.008,0.017
112,0.01,0.016
113,0.013,0.017
114,0.018,0.02
115,0.02,0.016
116,0.013,0.025
117,0.016,0.02
118,0.016,0.017
119,0.011,0.026
120,0.01,0.018
121,0.012,0.016
122,0.024,0.018
123,0.015,0.018
124,0.016,0.013
125,0.012,0.012
126,0.011,0.018
127,0.015,0.017
128,0.015,0.009
129,0.014,0.017
130,0.009,0.014
131,0.012,0.012
132,0.011,0.026
133,0.015,0.016
134,0.013,0.021
135,0.017,0.023
136,0.014,0.018
137,0.011,0.016
138,0.01,0.021
139,0.014,0.022
140,0.023,0.019
141,0.014,0.019
142,0.011,0.015
143,0.01,0.013
144,0.019,0.021
145,0.017,0.011
146,0.01,0.015
147,0.008,0.009
148,0.014,0.02
149,0.012,0.013
150,0.017,0.018
151,0.006,0.011
152,0.011,0.017
153,0.011,0.015
154,0.01,0.012
155,0.007,0.01
156,0.004,0.015
157,0.018,0.014
158,0.013,0.019
159,0.014,0.013
160,0.012,0.016
161,0.008,0.011
162,0.015,0.024
163,0.011,0.023
164,0.014,0.021
165,0.017,0.014
166,0.012,0.016
167,0.007,0.02
168,0.014,0.017
169,0.017,0.019
170,0.01,0.022
171,0.014,0.01
172,0.009,0.014
173,0.008,0.014
174,0.013,0.023
175,0.013,0.019
176,0.009,0.018
177,0.016,0.021
178,0.015,0.016
179,0.013,0.014
180,0.014,0.018
181,0.016,0.019
182,0.015,0.018
183,0.01,0.011
184,0.013,0.013
185,0.011,0.016
186,0.014,0.018
187,0.013,0.02
188,0.011,0.012
189,0.01,0.008
190,0.012,0.014
191,0.006,0.012
192,0.012,0.011
193,0.015,0.018
194,0.011,0.019
195,0.011,0.016
196,0.012,0.015
197,0.013,0.011
198,0.009,0.017
199,0.007,0.014
200,0.016,0.018
201,0.013,0.015
202,0.012,0.014
203,0.014,0.02
204,0.014,0.016
205,0.008,0.014
206,0.011,0.013
207,0.015,0.013
208,0.015,0.012
209,0.005,0.01
210,0.018,0.014
211,0.011,0.016
212,0.01,0.018
213,0.019,0.014
214,0.01,0.02
215,0.013,0.015
216,0.009,0.015
217,0.007,0.016
218,0.013,0.015
219,0.01,0.021
220,0.015,0.014
221,0.008,0.014
222,0.011,0.015
223,0.011,0.02
224,0.015,0.02
225,0.009,0.014
226,0.009,0.009
227,0.016,0.018
228,0.007,0.015
229,0.009,0.014
230,0.004,0.013
231,0.012,0.015
232,0.01,0.015
233,0.009,0.015
234,0.006,0.015
235,0.007,0.017
236,0.018,0.014
237,0.016,0.015
238,0.008,0.013
239,0.01,0.011
240,0.01,0.023
241,0.008,0.015
242,0.008,0.015
243,0.006,0.008
244,0.016,0.013
245,0.01,0.021
246,0.014,0.012
247,0.01,0.015
248,0.013,0.015
249,0.009,0.01
250,0.011,0.015
251,0.009,0.015
252,0.009,0.009
253,0.011,0.016
254,0.004,0.01
255,0.009,0.015
256,0.011,0.014
257,0.01,0.016
258,0.012,0.011
259,0.012,0.018
260,0.007,0.013
261,0.007,0.016
262,0.008,0.011
263,0.009,0.013
264,0.008,0.014
265,0.007,0.012
266,0.009,0.015
267,0.009,0.019
268,0.011,0.013
269,0.009,0.015
270,0.01,0.01
271,0.009,0.009
272,0.009,0.017
273,0.01,0.017
274,0.014,0.02
275,0.007,0.016
276,0.007,0.013
277,0.01,0.013
278,0.011,0.015
279,0.008,0.014
280,0.009,0.018
281,0.008,0.013
282,0.008,0.01
283,0.009,0.01
284,0.008,0.009
285,0.011,0.008
286,0.005,0.012
287,0.009,0.008
