Epoch,Train Error,Test Error
0,0.072,0.084
1,0.055,0.082
2,0.056,0.061
3,0.042,0.058
4,0.046,0.068
5,0.047,0.064
6,0.045,0.053
7,0.046,0.048
8,0.031,0.044
9,0.052,0.055
10,0.046,0.048
11,0.03,0.048
12,0.045,0.063
13,0.048,0.058
14,0.042,0.043
15,0.036,0.048
16,0.04,0.051
17,0.038,0.044
18,0.036,0.052
19,0.023,0.05
20,0.039,0.056
21,0.039,0.041
22,0.035,0.054
23,0.028,0.045
24,0.038,0.048
25,0.04,0.045
26,0.038,0.054
27,0.034,0.045
28,0.03,0.05
29,0.034,0.039
30,0.029,0.043
31,0.033,0.054
32,0.04,0.049
33,0.035,0.05
34,0.031,0.041
35,0.03,0.045
36,0.028,0.039
37,0.032,0.042
38,0.03,0.045
39,0.027,0.043
40,0.028,0.042
41,0.031,0.054
42,0.028,0.037
43,0.029,0.041
44,0.038,0.054
45,0.024,0.038
46,0.03,0.036
47,0.033,0.042
48,0.034,0.034
49,0.031,0.049
50,0.034,0.046
51,0.027,0.043
52,0.032,0.045
53,0.028,0.044
54,0.031,0.048
55,0.028,0.035
56,0.036,0.046
57,0.031,0.038
58,0.032,0.045
59,0.028,0.042
60,0.038,0.043
61,0.026,0.035
62,0.03,0.039
63,0.037,0.041
64,0.04,0.043
65,0.035,0.038
66,0.031,0.042
67,0.034,0.038
68,0.03,0.042
69,0.03,0.042
70,0.029,0.051
71,0.023,0.04
72,0.037,0.038
73,0.03,0.037
74,0.037,0.047
75,0.029,0.039
76,0.034,0.041
77,0.029,0.046
78,0.03,0.044
79,0.025,0.037
80,0.027,0.04
81,0.037,0.037
82,0.024,0.045
83,0.029,0.042
84,0.032,0.045
85,0.033,0.04
86,0.028,0.042
87,0.03,0.047
88,0.031,0.049
89,0.03,0.047
90,0.026,0.035
91,0.03,0.038
92,0.024,0.031
93,0.024,0.04
94,0.024,0.037
95,0.029,0.037
96,0.035,0.045
97,0.026,0.048
98,0.023,0.031
99,0.032,0.048
100,0.033,0.045
101,0.025,0.044
102,0.032,0.046
103,0.023,0.041
104,0.03,0.036
105,0.032,0.038
106,0.028,0.046
107,0.029,0.038
108,0.032,0.043
109,0.028,0.038
110,0.029,0.046
111,0.031,0.041
112,0.025,0.043
113,0.027,0.045
114,0.033,0.042
115,0.026,0.043
116,0.031,0.037
117,0.034,0.037
118,0.023,0.036
119,0.026,0.036
120,0.028,0.035
121,0.027,0.033
122,0.031,0.05
123,0.035,0.039
124,0.029,0.041
125,0.021,0.037
126,0.037,0.038
127,0.029,0.04
128,0.031,0.046
129,0.026,0.035
130,0.029,0.041
131,0.032,0.042
132,0.029,0.047
133,0.03,0.044
134,0.029,0.039
135,0.035,0.045
136,0.036,0.045
137,0.029,0.047
138,0.023,0.038
139,0.026,0.044
140,0.033,0.047
141,0.029,0.046
142,0.027,0.043
143,0.033,0.041
144,0.032,0.042
145,0.033,0.034
146,0.029,0.04
147,0.032,0.049
148,0.027,0.036
149,0.026,0.04
150,0.033,0.039
151,0.026,0.033
152,0.027,0.038
153,0.03,0.044
154,0.041,0.044
155,0.032,0.041
156,0.028,0.039
157,0.028,0.056
158,0.029,0.043
159,0.028,0.031
160,0.026,0.041
161,0.029,0.045
162,0.033,0.048
163,0.027,0.041
164,0.027,0.037
165,0.023,0.032
166,0.027,0.041
167,0.032,0.038
168,0.03,0.046
169,0.026,0.034
170,0.027,0.029
171,0.031,0.044
172,0.03,0.049
173,0.029,0.034
174,0.033,0.047
175,0.023,0.037
176,0.031,0.04
177,0.031,0.036
178,0.024,0.044
179,0.026,0.043
180,0.03,0.048
181,0.031,0.045
182,0.032,0.033
183,0.029,0.044
184,0.029,0.045
185,0.03,0.048
186,0.024,0.043
187,0.032,0.041
188,0.031,0.048
189,0.025,0.044
190,0.026,0.04
191,0.03,0.043
192,0.027,0.038
193,0.028,0.034
194,0.028,0.035
195,0.025,0.038
196,0.03,0.042
197,0.033,0.038
198,0.033,0.046
199,0.033,0.037
200,0.026,0.04
201,0.026,0.049
202,0.028,0.047
203,0.03,0.037
204,0.029,0.03
205,0.031,0.04
206,0.023,0.039
207,0.026,0.04
208,0.025,0.04
209,0.032,0.041
210,0.031,0.038
211,0.032,0.041
212,0.027,0.034
213,0.034,0.052
214,0.03,0.044
215,0.027,0.037
216,0.025,0.039
217,0.031,0.04
218,0.026,0.042
219,0.027,0.037
220,0.034,0.043
221,0.029,0.041
222,0.031,0.035
223,0.024,0.038
224,0.027,0.038
225,0.025,0.049
226,0.023,0.033
227,0.029,0.039
228,0.029,0.041
229,0.033,0.036
230,0.032,0.042
231,0.028,0.041
232,0.032,0.037
233,0.031,0.038
234,0.026,0.034
235,0.027,0.038
236,0.032,0.039
237,0.032,0.038
238,0.027,0.044
239,0.031,0.039
240,0.025,0.04
241,0.026,0.05
242,0.03,0.042
243,0.029,0.035
244,0.031,0.04
245,0.027,0.037
246,0.029,0.035
247,0.029,0.041
248,0.029,0.038
249,0.03,0.038
250,0.029,0.037
251,0.024,0.048
252,0.025,0.041
253,0.03,0.035
254,0.025,0.043
255,0.028,0.049
256,0.027,0.043
257,0.023,0.038
258,0.034,0.04
259,0.036,0.052
260,0.03,0.04
261,0.028,0.044
262,0.026,0.044
263,0.025,0.045
264,0.03,0.038
265,0.025,0.044
266,0.029,0.036
267,0.029,0.054
268,0.03,0.039
269,0.025,0.034
270,0.03,0.038
271,0.031,0.039
272,0.028,0.033
273,0.03,0.04
274,0.025,0.038
275,0.026,0.04
276,0.027,0.042
277,0.035,0.044
278,0.023,0.041
279,0.038,0.043
280,0.029,0.044
281,0.025,0.033
282,0.029,0.041
283,0.025,0.037
284,0.031,0.044
285,0.024,0.043
286,0.034,0.039
287,0.026,0.038
288,0.033,0.036
289,0.03,0.048
290,0.027,0.041
291,0.032,0.04
292,0.033,0.041
293,0.027,0.038
294,0.033,0.031
295,0.031,0.038
296,0.028,0.04
297,0.03,0.038
298,0.035,0.031
299,0.024,0.036
300,0.035,0.042
301,0.032,0.033
302,0.027,0.044
303,0.04,0.034
304,0.026,0.043
305,0.029,0.038
306,0.028,0.037
307,0.027,0.041
308,0.03,0.037
309,0.03,0.05
310,0.025,0.034
311,0.033,0.041
312,0.031,0.029
313,0.027,0.039
314,0.025,0.034
315,0.024,0.033
316,0.027,0.049
317,0.028,0.043
318,0.028,0.042
319,0.033,0.032
320,0.033,0.04
321,0.032,0.036
322,0.033,0.032
323,0.025,0.037
324,0.031,0.04
325,0.026,0.035
326,0.025,0.039
327,0.025,0.037
328,0.032,0.037
329,0.027,0.037
330,0.025,0.042
331,0.033,0.041
332,0.03,0.046
333,0.03,0.039
334,0.032,0.041
335,0.026,0.038
336,0.03,0.035
337,0.035,0.045
338,0.029,0.029
339,0.03,0.041
340,0.023,0.038
341,0.028,0.044
342,0.03,0.045
343,0.034,0.046
344,0.029,0.034
345,0.03,0.038
346,0.025,0.04
347,0.037,0.041
348,0.031,0.034
349,0.027,0.036
350,0.024,0.04
351,0.029,0.037
352,0.03,0.04
353,0.03,0.039
354,0.032,0.036
355,0.026,0.035
356,0.024,0.036
357,0.027,0.035
358,0.032,0.041
359,0.028,0.043
360,0.026,0.041
361,0.027,0.039
362,0.027,0.039
363,0.028,0.042
364,0.026,0.043
365,0.025,0.042
366,0.025,0.035
367,0.027,0.043
368,0.026,0.038
369,0.032,0.052
370,0.029,0.04
371,0.029,0.045
372,0.03,0.045
373,0.032,0.044
374,0.026,0.042
375,0.034,0.045
376,0.026,0.038
377,0.022,0.036
378,0.036,0.041
379,0.029,0.035
